id,title,authors,abstract,keywords,url,download_url,handle,suggested_citation,page_number,Is_Economics
,"Price Discovery in Indian Government Securities Market, Monetary Management and the Cost of Government Borrowing",Ashima Goyal,"Over 2017-18 there was a sharp rise in Indian government securities (G-Secs) interest rates unrelated to fundamentals. Examining each of the standard explanatory variables shows them to be inadequate to account for the rise in bond yields in this period. Turning to aspects of Indian structure the reason is found to be the narrow focus of monetary operating procedures, with excessive reliance on making up liquidity shortfalls with short-term liquidity, which was inadequate given large exogenous durable liquidity shocks including foreign inflows. The composition of liquidity, share of reserve money and its sources all matter. Open market operations (OMOs) have a significant impact on yields. Large foreign debt inflows induce OMOs sales as G-Secs are swapped for foreign securities to sterilize the effect of inflows on the money supply. G-Secs yields are then found to rise.","Ess, Government securities market, yields, open market operations, debt inflows, price discovery, Monetary Management, Cost of Government Borrowing, Open market operations (OMOs)., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13027.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019329141342_29.pdf&fcategory=Articles&AId=13027&fref=repec,RePEc:ess:wpaper:id:13027,"Ashima Goyal, 2019. ""Price Discovery in Indian Government Securities Market, Monetary Management and the Cost of Government Borrowing,"" Working Papers id:13027, eSocialSciences.",1,True
,What Explains the Volatility of India's Catch-up Growth?,Ashima Goyal,"Indian post reform growth rates have been higher but more volatile compared to transition periods for other comparable countries. The reasons are aggravation of shocks due to unaddressed critical bottlenecks together with pro-cyclical macroeconomic policy that compressed aggregate demand. Reform is required to relieve constraints, but traditional reforms may be neither appropriate nor achievable. Feasible reforms are discussed. Since diversity and resilience has increased and some constraints have eased, the paper argues sustained high growth is reachable with the relevant policy support.","eSS, India, growth, volatility, resilience, reforms, shocks, pro-cyclical, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13026.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019329131951_29.pdf&fcategory=Articles&AId=13026&fref=repec,RePEc:ess:wpaper:id:13026,"Ashima Goyal, 2019. ""What Explains the Volatility of India's Catch-up Growth?,"" Working Papers id:13026, eSocialSciences.",1,True
,India's Universal Basic Income: Bedeviled by the Details,Saksham Khosla,"The idea of a Universal Basic Income (UBI)-""”periodic and uncon- ditional cash payments to all citizens""”has gained renewed attention amid growing concerns about technological unemployment in advanced economies. More recently, economists have made the case for a UBI in the developing world, where cash transfers distributed to all citizens, rich and poor, may cut through layers of red tape and lead to outsize gains in poverty reduction. In India, a rapid expansion of direct cash transfers linked to the national biometric database and small basic income experiments have galvanized an extensive debate on a UBI. Supporters claim that no-strings-attached payments will be an effective antidote to India's underperforming antipoverty programs and leaky, distortionary subsidies. Critics worry that they will undermine an already-fragile social security architecture, cause workers to drop out of the labor force, and encourage wasteful spending.Rather than relying exclusively upon the survey's proposed methods for financing, targeting, and distributing a UBI, Indian policymakers should join their Finnish and Canadian counterparts in running one or several large-scale experimental evaluations. By determining the impact on both the government (state and fiscal capacity) and citizens (economic and social outcomes), such trials can generate new empirical evidence to inform the growing UBI debate and reveal the most effective role for unconditional transfers in India's welfare architecture.","UBI, Universal Basic Income, unconditional transfers, welfare architecture, anti-poverty programmes, social security architecture, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13024.html,http://www.esocialsciences.org/Articles/show_Article.aspx?acat=InstitutionalPapers&aid=13024,RePEc:ess:wpaper:id:13024,"Saksham Khosla, 2019. ""India's Universal Basic Income: Bedeviled by the Details,"" Working Papers id:13024, eSocialSciences.",1,True
,Sri Lanka's Macroeconomic Challenges: A Tale of Two Deficits,"Dushni Weerakoon, Utsav Kumar, Roselle Dime","The paper provides a narrative of Sri Lanka's history of twin deficits, examines macroeconomic performance from the lens of twin deficits, and discusses the policies adopted to address macroeconomic imbalances. Recent efforts toward a revenue-based fiscal consolidation have started yielding improvements in the ratio of tax revenue to gross domestic product, and show promise in repairing the fiscal accounts. However, fiscal policy efforts need to be supported by reforms to generate nondebt-creating foreign currency inflows to stabilize the external sector and assist in building up a buffer stock of official foreign exchange reserves.","eSS, macroeconomics, deficits, macroeconomic performance, fiscal, tax revenue, gross domestic product, foreign currency, external sector, foreign exchange., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13022.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019328135526_29.pdf&fcategory=Articles&AId=13022&fref=repec,RePEc:ess:wpaper:id:13022,"Dushni Weerakoon & Utsav Kumar & Roselle Dime, 2019. ""Sri Lanka's Macroeconomic Challenges: A Tale of Two Deficits,"" Working Papers id:13022, eSocialSciences.",1,True
,Sectoral amd Skill Contributions to Labor Productivity in Asia,"Matthias Helble, Long Q Trinh, Trang Le","Using a decomposition approach on data collected by the Asian Productivity Organization (APO) as well as World Input-Output data, it shows that in most Asian economies the services sector makes the largest contribution to labor productivity. Furthermore, it finds evidence of a major reallocation of labor from agriculture directly to services, bypassing the manufacturing sector. This finding challenges the traditional view that countries in their economic development need to have their workforce employed first in manufacturing before switching to services. Lastly, the paper studies how different skill levels contribute to labor productivity growth. It finds that high-skilled workers have contributed most to overall labor productivity growth in developing Asia. In services, high-skilled workers have mainly driven labor productivity, indicating that upskilling and training are instrumental in services-led development.","eSS, labor productivity, manufacturing, services, skills, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13015.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019312151738_29.pdf&fcategory=Articles&AId=13015&fref=repec,RePEc:ess:wpaper:id:13015,"Matthias Helble & Long Q Trinh & Trang Le, 2019. ""Sectoral amd Skill Contributions to Labor Productivity in Asia,"" Working Papers id:13015, eSocialSciences.",1,True
,Services and Manufacturing in Global Value Chains: Is the Dstinction Obsolete?,Sébastien Miroudot,"This paper introduces a taxonomy of service activities in GVCs and describes the main statistical challenges in assessing the contribution of manufacturing and services to output, value added, or trade. It then reviews three approaches that take GVCs into account in the analysis of income, comparative advantage, and productivity to address these challenges. As statisticians are working on improving the framework for understanding global production, policymakers should be aware of the blurring lines between goods and services.","eSS, taxation, taxonomy of service activities, statistical challenges, manufacturing, service output, value, global value chains (GVCs), de-industrialization, servicification, income, global production, policymakers, goods and services., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13013.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201937131646_29.pdf&fcategory=Articles&AId=13013&fref=repec,RePEc:ess:wpaper:id:13013,"Sébastien Miroudot, 2019. ""Services and Manufacturing in Global Value Chains: Is the Dstinction Obsolete?,"" Working Papers id:13013, eSocialSciences.",1,True
,Rebalancing the Economy and Reforming the Fiscal System of the People's Republic of China,Roy Bahl,"The goal of the note is to lay out and discuss a package of reforms that could be consistent with the objectives of the government. The fiscal instruments that we consider here include the division of expenditure responsibilities, subnational government taxation, intergovernmental transfers, user charges, borrowing powers, and financial management practices.","eSS, governance, economy, fiscal system, People's Republic of China, fiscal instruments, expenditure, taxation, government taxation, intergovernment transfer, user charges, borrowing powers, financial management., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13012.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20193713255_29.pdf&fcategory=Articles&AId=13012&fref=repec,RePEc:ess:wpaper:id:13012,"Roy Bahl, 2019. ""Rebalancing the Economy and Reforming the Fiscal System of the People's Republic of China,"" Working Papers id:13012, eSocialSciences.",1,True
,The Labor Share of Income Around the World: Evidence from a Panel Dataset,Marta Guerriero,"This study provides an evaluation of five different methodologies of estimation commonly used in the labor share literature and propose a new measurement. Theglobal dataset of the labor income share across 151 economies is compiled""”both developing and developed""”for all or part of the period 1970-2015. Results show that our suggested indicator is correlated to the other five measures but it also retains unique information. Contrary to the traditional assumption of stable factor shares, it documents the existence of considerable heterogeneity across economies and variability over time. Specifically, there has been a general decline in the labor share around the world, in particular from the mid-1980s onwards.","eSS, labor share, income, panel dataset, factor shares, income distribution, labor, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13008.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201922015117_29.pdf&fcategory=Articles&AId=13008&fref=repec,RePEc:ess:wpaper:id:13008,"Marta Guerriero, 2019. ""The Labor Share of Income Around the World: Evidence from a Panel Dataset,"" Working Papers id:13008, eSocialSciences.",1,True
,Money and Central Bank Digital Currency,Sayuri Shirai,"This paper takes an overview of the concepts and features of central bank money and private sector money and focuses on the actual performance of these types of money in selected advanced and emerging economies. In addition, digital coins (crypto assets), such as bitcoin, are newly emerged private sector money. Much attention has been given to digital coins because the underlying distributed ledge technology (DLT) enables a decentralized verification process while maintaining features similar to cash. Some central banks have expressed unease about these digital coins because of the high volatility in their values. However, the size of the newly emerged private sector money currently remains limited due to its limited use as a payment tool.","eSS, central bank, money, private sector, digital coins, crypto assets, distributed ledge technology (DLT), volatility, digital currency, payment tools., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13006.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019218133324_29.pdf&fcategory=Articles&AId=13006&fref=repec,RePEc:ess:wpaper:id:13006,"Sayuri Shirai, 2019. ""Money and Central Bank Digital Currency,"" Working Papers id:13006, eSocialSciences.",1,True
,Emerging Trends in India-Pakistan Trade,"Nisha Taneja, Samridhi Bimal, Varsha Sivaram","The study finds that there has been a limited impact of trade liberalization on the volume of trade between the two countries. The shift from positive list to negative list has not resulted in any major increase in new exports. The share of new commodities exports in total exports has showed a rise of only 9 percentage points between 2012-13 and 2016-17. However, the trade basket has witnessed a diversification in terms of number of new items traded. The study finds that there is evidence of items shifting from informal to formal channels. The study also finds that the imposition of regulatory duties and compliance of standards has not affected India's exports to Pakistan. The study concludes by making policy recommendations that could enhance and facilitate bilateral trade between India and Pakistan.","eSS, : India-Pakistan, bilateral trade, trade normalization, informal trade, trade liberalization, export, regulatory duties, compliance standards, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13004.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201925144524_29.pdf&fcategory=Articles&AId=13004&fref=repec,RePEc:ess:wpaper:id:13004,"Nisha Taneja & Samridhi Bimal & Varsha Sivaram, 2019. ""Emerging Trends in India-Pakistan Trade,"" Working Papers id:13004, eSocialSciences.",1,True
,Skill Mismatch and Returns to Education in Manufacturing: A Case of India's Textile and Clothing Industry,Prateek Kukreja,"The paper attempts to measure the incidence and extent of skill/education mismatch and analyse the economic returns/cost to over/under education in one of India's largest labour intensive industries: Textiles and Clothing (T&C). The study is based on the 68th round of NSS Employment and Unemployment Survey estimates. Using the over-education/required education/undereducation (ORU) models on a cross section dataset of individuals employed (as a regular salaried/ wage employee or as casual wage labour) in India's T&C industry, it finds that the overall educational mismatch ratio during 2011-12 was to the tune of 67.61%. Further, results indicate that while returns to surplus education is positive, it is less in magnitude as compared to returns to required education, suggesting underutilization of excess education. There's also a significant wage penalty associated with each deficit year of education.","eSS, Skill mismatch, textiles, clothing, over-education, required education, undereducation, excess education, wage penalty surplus education, labour intensive industries, skill education, under education, India., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13003.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20192414371_29.pdf&fcategory=Articles&AId=13003&fref=repec,RePEc:ess:wpaper:id:13003,"Prateek Kukreja, 2019. ""Skill Mismatch and Returns to Education in Manufacturing: A Case of India's Textile and Clothing Industry,"" Working Papers id:13003, eSocialSciences.",1,True
,International Monetary Affairs in the Inter War Years: Limits of Cooperation,Manmohan Agarwal,"There were intensive efforts at monetary cooperation in the interwar years to overcome the imbalances accumulated during the war years to reduce the rate of inflation, reduce the rate of unemployment and achieve exchange rate stability. Countries successfully cooperated in helping the newly independent countries of Eastern and South Eastern Europe establish central banks, except in the case of Germany and Romania. They also reached agreement on German reparations after some serious differences. Cooperation was possible as long as the issues were technical and did not involve a shift in economic power.","eSS, International Monetary Economics, Economy in inter-war period, US-UK Struggle for Hegemony., All these keywords",https://ideas.repec.org/p/ess/wpaper/id12996.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201921131756_29.pdf&fcategory=Articles&AId=12996&fref=repec,RePEc:ess:wpaper:id:12996,"Manmohan Agarwal, 2019. ""International Monetary Affairs in the Inter War Years: Limits of Cooperation,"" Working Papers id:12996, eSocialSciences.",1,True
,Outward FDI and Crossborder M&As by Indian Firms: A Host Country-Level Analysis,P.L. Beena,"This paper tries to understand the trends and the pattern of Outward Foreign Direct Investment (OFDI) by Indian firms and the factors that determine OFDI from India through Cross-Border Mergers and Acquisitions (CBM&As). As economic activities of those firms in the respective host countries are not accessible, the present study is restricted to analyse the push and pull factors, based on the macroeconomic indicators of the leading nineteen countries that hosted such investments between 2004 and 2015. The study employs Negative binomial and Ordinary Least Square (OLS) panel data regression. It is based on a theoretical framework, i) by drawing insights mainly from the Ownership Location Internationalisation (OLI) theory on determinants of FDI, namely, market-seeking, resource seeking and strategic asset seeking, and ii)by controlling other variables such as India's Real Effective Exchange Rate and Institutional factors.","eSS, Outward Foreign Direct Investment (OFDI), Cross-Border Mergers and Acquisitions (CBM&As), economic activities, Indian firms, macroeconomic indicators, investments, Negative binomial, Ordinary Least Square (OLS), theoretical framework, Ownership Location Internationalisation (OLI), exchange rate, India., All these keywords",https://ideas.repec.org/p/ess/wpaper/id12993.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019131122611_29.pdf&fcategory=Articles&AId=12993&fref=repec,RePEc:ess:wpaper:id:12993,"P.L. Beena, 2019. ""Outward FDI and Crossborder M&As by Indian Firms: A Host Country-Level Analysis,"" Working Papers id:12993, eSocialSciences.",1,True
,Enlargement Decisions of Regional Trading Blocs with Asymmetric Members,Sunandan Ghosh,"This paper analyzes the conditions under which an existing bilateral free trade area (FTA) prefers to expand in size and when it prefers consolidation through customs union (CU) formation when the existing members of the FTA are asymmetric, both with respect to production technology and domestic market sizes. The analytical framework employs a standard oligopolistic strategic trade model in a three-country world. In presence of technology asymmetry, there will exist a clash of interest between the FTA members while the non-member will always prefer to join the bloc. Global free trade can be sustained as a subgame perfect Nash equilibrium only for lower degrees of production inefficiency while for higher degrees of production inefficiency a CU between the initial members can be sustained in the presence of some side payments.","eSS, Consolidation, Expansion, Regional Trading Blocs, free trade area (FTA), customs union (CU), oligopolistic strategic trade model, Global free trade, production inefficiency, payments., All these keywords",https://ideas.repec.org/p/ess/wpaper/id12992.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019131122027_29.pdf&fcategory=Articles&AId=12992&fref=repec,RePEc:ess:wpaper:id:12992,"Sunandan Ghosh, 2019. ""Enlargement Decisions of Regional Trading Blocs with Asymmetric Members,"" Working Papers id:12992, eSocialSciences.",1,True
,Towards India's New Fiscal Federalism,Vijay Kelkar,"The paper explored deep analytical issues such as the nature of the objective function to be optimized, planning horizon, choice of the discount rates, etc. No wonder, his book ""Capital and Development Planning"" much admired by the great Prof. Paul Samuelson is an all-time classic.","eSS, New Fiscal Federalism, Planning Commission, Economic Advisory Council, scholarship, monetary policy target, India., All these keywords",https://ideas.repec.org/p/ess/wpaper/id12988.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019130133942_29.pdf&fcategory=Articles&AId=12988&fref=repec,RePEc:ess:wpaper:id:12988,"Vijay Kelkar, 2019. ""Towards India's New Fiscal Federalism,"" Working Papers id:12988, eSocialSciences.",1,True
,Testing the Friedman-Schwartz Hypothesis Using Time Varying Correlation,"Taniya Ghosh, Prashant Mehul Parab","This study analyses the time varying correlation of money and output using the DCC GARCH model for the Euro, India, Poland, the UK and the US. Apart from simple sum money, this model uses Divisia monetary aggregate, which is theoretically shown as the actual measure of monetary services. The inclusion of Divisia money affirms the Friedman-Schwartz hypothesis that money is procyclical. The procyclical nature of association was not robustly observed in recent data when simple sum money was used.","eSS, DCC GARCH, Divisia, Monetary Aggregates, Real Output, correlation of money, monetary services, Friedman-Schwartz hypothesis, procyclical., All these keywords",https://ideas.repec.org/p/ess/wpaper/id12986.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019130132243_29.pdf&fcategory=Articles&AId=12986&fref=repec,RePEc:ess:wpaper:id:12986,"Taniya Ghosh & Prashant Mehul Parab, 2019. ""Testing the Friedman-Schwartz Hypothesis Using Time Varying Correlation,"" Working Papers id:12986, eSocialSciences.",1,True
