id,title,authors,abstract,keywords,url,download_url,handle,suggested_citation,page_number
,"Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21",Ministry of Finance,"During the unlock phase, demand-side measures have been announced in a calibrated manner. A public investment programme centred around the National Infrastructure Pipeline is likely to accelerate this demand push and further the recovery. The upturn in the economy while avoiding a second wave of infections makes India a sui generis case in strategic policymaking amidst a oncein-a-century pandemic.","pandemic, Covid-19, Kerala, Maharashtra, GDP, unlock, WHO, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13133.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021131195034_20.pdf&fcategory=Articles&AId=13133&fref=repec,RePEc:ess:wpaper:id:13133,"Ministry of Finance, 2021. ""Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21,"" Working Papers id:13133, eSocialSciences.",1
,Budget Speech of Kerala Finance Minister 2021-22,T.M. Thomas Issac,Kerala Budget presented by the Finance Minister.,"Budget, Kerala, COVID, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13129.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021118113633_20.pdf&fcategory=Articles&AId=13129&fref=repec,RePEc:ess:wpaper:id:13129,"T.M. Thomas Issac, 2021. ""Budget Speech of Kerala Finance Minister 2021-22,"" Working Papers id:13129, eSocialSciences.",1
,"Longitudinal Ageing Study in India (LASI): An Investigation of Health, Economic, and Social Well-being of India's Growing Elderly Population","Arokiasamy Perianayagam, David E. Bloom, T.V Sekher","The LASI pilot sought information on households and older individuals in the respective households. The analysis of LASI pilot data revealed insightful evidence on reported and measured health status, social network characteristics, income and consumption, retirement, and pensions of the ageing population. Details about the methodology, findings, and recommendations are presented in the LASIPilot India Report. Learnings from the LASI pilot survey have guided the implementation of the first wave of a large-scale, national- and state-representative panel survey on the health, economic status, and social behaviours of older people in India, with sufficient statistical power to test the hypotheses in subpopulations of interest. [IIPS Report]","ageing, India, India, elderly, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13126.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202117211019_20.pdf&fcategory=Articles&AId=13126&fref=repec,RePEc:ess:wpaper:id:13126,"Arokiasamy Perianayagam & David E. Bloom & T.V Sekher, 2021. ""Longitudinal Ageing Study in India (LASI): An Investigation of Health, Economic, and Social Well-being of India's Growing Elderly Population,"" Working Papers id:13126, eSocialSciences.",1
,Envisioning Urban Economy in Uncertain Times,Alex Venuto,"A major output of Urban Economy Forum is the Regent Park World Urban Pavilion by UN-Habitat (The Pavilion), a collaboration between the Urban Economy Forum, UN-Habitat and the Government of Canada. The Pavilion will be a global knowledge and innovation exchange hub that will pilot innovative and creative programmes related to sustainable urbanism.","Urban Economy forum 2020, UN-HABITAT, sustainable urbanism, Regent Park World Urban Pavilion, Canada, innovation, global urban knowledge, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13116.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20201020174125_19.pdf&fcategory=Articles&AId=13116&fref=repec,RePEc:ess:wpaper:id:13116,"Alex Venuto, 2020. ""Envisioning Urban Economy in Uncertain Times,"" Working Papers id:13116, eSocialSciences.",1
,Shifting Paradigms in Urbanism,Daniel Biau,"Covid-19 has provided a magnifying glass which highlighted the fragility of our urban systems and suggested new ways to address the related challenges. The aftermath of COVID many paradigms may change or evolve between business as usual and radical transformation, including in urbanism.","COVID 19, UN-HABITAT, urban economic forum, urban development, housing policy, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13112.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20201016195944_19.pdf&fcategory=Articles&AId=13112&fref=repec,RePEc:ess:wpaper:id:13112,"Daniel Biau, 2020. ""Shifting Paradigms in Urbanism,"" Working Papers id:13112, eSocialSciences.",1
,National Education Policy 2020,"Ministry of Human Resource Development, GOI","This Policy proposes the revision and revamping of all aspects of the education structure, including its regulation and governance, to create a new system that is aligned with the aspirational goals of 21st century education, including SDG4, while building upon India's traditions and value systems. The National Education Policy 2020 lays particular emphasis on the development of the creative potential of each individual. It is based on the principle that education must develop not only cognitive capacities - both the 'foundational capacities 'of literacy and numeracy and 'higher-order' cognitive capacities, such as critical thinking and problem solving - but also social, ethical, and emotional capacities and dispositions.","education, National Education Policy 2020, teachers, curriculum, literacy, numeracy, cognitive capacities, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13106.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20208220507_19.pdf&fcategory=Articles&AId=13106&fref=repec,RePEc:ess:wpaper:id:13106,"Ministry of Human Resource Development, GOI, 2020. ""National Education Policy 2020,"" Working Papers id:13106, eSocialSciences.",1
,Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"G.D Bino Paul, Muralidharan T","This paper looks into diverse databases to gauge if economic growth in India creates adequate volume of jobs since the year 2000. In our exercise, we use a popular index called employment elasticity. This indicator says to what extent the employment expands while the economy grows. First, gauging the employment elasticity, we provide a comparative picture of India and other BRICS countries during 2000-2017. Second, using the time series data for 2000 to 2016, we present the analysis pertinent to India, disaggregated for Industries. Finally, we examine the temporal change in employment elasticity with respect to the organised manufacturing in India during 2000-2014. In essence, the data conveys that India needs to create discernibly higher volume of jobs in response to the impending economic growth or find other avenues like Manpower exports or entrepreneurship growth. All three exercises concur with the conclusion that job creation in India needs a gearing up since proportionate expansion in employment is not even a fifth of expansion in value added in the economy. What makes this attempt distinct from the extant literature is that it uses more granular data with respect to the household and the enterprise, while it examines the indicator from the macro angle, as well.","employment, employment elasticity, jobs, manpower exports, entrepreneurship growth, household data, job creation, india, south Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13093.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202062605047_19.pdf&fcategory=Articles&AId=13093&fref=repec,RePEc:ess:wpaper:id:13093,"G.D Bino Paul & Muralidharan T, 2020. ""Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"" Working Papers id:13093, eSocialSciences.",1
,The Covid-19 Lockdown in India: Gender and Caste Dimensions of the First Job Losses,Ashwini Deshpande,"Based on national-level panel data from Centre for Monitoring Indian Economy (CMIE)'s Consumer Pyramids Household Survey (CPHS) database, this paper investigates the first effects of Covid-19 induced lockdown on employment. Examining the employment status of 37,000 in- dividuals before and after the lockdown, we find that individuals were 12.8 percentage points less likely to be employed post-lockdown. On a pre-lockdown base of 38.9 percent employment, this translates into a 33 precent reduction in the likelihood of being employed. The decline in employment is not gender and caste neutral. Men are more likely to be employed overall, and drop in male employment is greater in absolute terms. However, women who were employed in the pre-lockdown phase were 23.5 percentage points less likely to be employed in the post- lockdown phase, compared to men. Male heads of household were 11.3 percentage points more likely to be employed post-lockdown, compared to female heads of household. Caste differences are not as sharp as gender differences, but the we find that lockdown affected employment of the disadvantaged caste groups relatively more adversely than the higher ranked group of castes.","Covid-19, Lockdown, Employment, Gender, Caste, India, pandemic, COVID, Covid, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13085.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020691898_19.pdf&fcategory=Articles&AId=13085&fref=repec,RePEc:ess:wpaper:id:13085,"Ashwini Deshpande, 2020. ""The Covid-19 Lockdown in India: Gender and Caste Dimensions of the First Job Losses,"" Working Papers id:13085, eSocialSciences.",1
,"(In)Visibility, Care and Cultural Barriers: The Size and Shape of Women's Work in India",Ashwini Deshpande,"Based on primary data from a large household survey in seven districts in West Bengal in India, this paper analyses the reasons underlying low labor force participation of women. In particular, we try to disentangle the intertwined strands of choice, constraints posed by domestic work and care responsibilities, and the predominant understanding of cultural norms as factors explaining the low labor force participation as measured by involvement in paid work. We document the fuzziness of the boundary between domestic work and unpaid (and therefore invisible) economic work that leads to mis-measurement of women's work and suggest methods to improve measurement. We find that being primarily responsible for domestic chores lower the probability of ""working"" , after accounting for all the conventional factors. We also document how, for women, being out of paid work is not synonymous with care or domestic work, as they are involved in expenditure saving activities. We also find that religion and visible markers such as veiling are not significant determinants of the probability of working. Our data shows substantial unmet demand for work. Given that women are primarily responsible for domestic chores, we also document that women express a demand for work that would be compatible with household chores. [discussion Paper Series in Economics. DP No.04/19]","Women, Gender, Labor Force Participation, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13084.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20206916297_19.pdf&fcategory=Articles&AId=13084&fref=repec,RePEc:ess:wpaper:id:13084,"Ashwini Deshpande, 2020. ""(In)Visibility, Care and Cultural Barriers: The Size and Shape of Women's Work in India,"" Working Papers id:13084, eSocialSciences.",1
,Inequality in a Global Perspective,Ravi Kanbur,"The basic story of global inequality in the last three decades has been an overall decline, but one which is composed of quite intricate patterns. There has been a decline in between country inequality as China and India have grown relative to the US and other rich countries. This has been accompanied by an increase in within country inequality, but this is itself composed of rising inequality in some countries such as China, India and the US, and declining inequality in other countries, including large economies in Latin America. Section 2 of the paper will review these patterns, highlighting country diversity to make the central point that policy matters. Section 3 addresses a normative question""”what relative weight should be given to within country and between inequality in making an overall global assessment? This section will bring on board recent philosophical discourse, including on inequality of opportunity in a global frame. Section 4 will return to the ""policy matters"" theme and take up global constraints on national redistribution policy in a globalized world, for example a race to the bottom on taxation to attract and keep capital and talent, and possible global institutional responses to alleviate these constraints. [WP-Cornell-Dyson]","inequality, global inequality, between country inequality, within country inequality, inequality of opportunity, national redistribution policy, taxation, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13083.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20206813448_19.pdf&fcategory=Articles&AId=13083&fref=repec,RePEc:ess:wpaper:id:13083,"Ravi Kanbur, 2020. ""Inequality in a Global Perspective,"" Working Papers id:13083, eSocialSciences.",1
,"COVID, Reverse migration and opportunities to reinvent Gram Swaraj","Vikash R Keshri, Subodh S Gupta","One of the distressingly overwhelming scenes which followed the sudden announcement of lockdown was mass reverse migration of lakhs of migrant workers from more industrialized and urbanized states and cities to villages in predominantly rural area and resource-constrained states. There is enough evidence in history to suggest that a crisis of such magnitude have the potential to change the way the world, country and society is organized and function. Can the current pandemic do the same for these migrant workers? Among other possibilities, this crisis should warrant a call to revisit and renew focus on 'Gram Swaraj', a concept given by the father of the Nation, Mahatma Gandhi, at the centre of which concept is 'self-reliance'.","COVID, COVID19, pandemic, migrant workers, reverse migration, gram swaraj, self-reliance, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13077.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202062193152_19.pdf&fcategory=Articles&AId=13077&fref=repec,RePEc:ess:wpaper:id:13077,"Vikash R Keshri & Subodh S Gupta, 2020. ""COVID, Reverse migration and opportunities to reinvent Gram Swaraj,"" Working Papers id:13077, eSocialSciences.",1
,The Women Warriors Fighting COVID-19 at the Frontline: ASHA Workers Left Without Hope,Aswati Warrier,"Over 90,000 women, the ASHA workers at the community level, are at the centre of the public health system especially in the rural areas have been working non-stop during this pandemic. But they are not only invisible to the nation at large, they are also the most neglected, with no protection equipment with the government classifying them as 'low risk'.","COVID-19, COVID, ASHA workers, public health workers, frontline workers, rural health system, PPEs, personal protective equipment, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13066.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020522164720_19.pdf&fcategory=Articles&AId=13066&fref=repec,RePEc:ess:wpaper:id:13066,"Aswati Warrier, 2020. ""The Women Warriors Fighting COVID-19 at the Frontline: ASHA Workers Left Without Hope,"" Working Papers id:13066, eSocialSciences.",1
,Is Delhi enjoying Better Air Quality? A Note on the Effect of COVID-19 Lockdown on Air Pollution,"Ankit Sikarwar, Ritu Rani, Aparajita Chattopadhyay","The global spread of COVID-19 has restricted the anthropogenic activities across the world. This has led to some unexpected alterations in the environment. As industries, transport networks, and businesses have closed down, it has brought an improving trend of air quality in polluted regions. In India, the nationwide lockdown has been implemented on 24th March 2020. The lockdown restrictions on more than 1.3 billion people have brought unique changes in the air quality. This study analyses the levels of three major pollutants (PM2.5, PM10, and NO2) before and during the lockdown in Delhi using secondary data derived from the Central Control Room for Air Quality Management, Delhi. [IIPS COIVD-19 Research Series].","COVID-19, Delhi, lockdown, pollutants, air quality management, environment, transport, industries, closed down, India, polluted regions, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13061.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020518111633_20.pdf&fcategory=Articles&AId=13061&fref=repec,RePEc:ess:wpaper:id:13061,"Ankit Sikarwar & Ritu Rani & Aparajita Chattopadhyay, 2020. ""Is Delhi enjoying Better Air Quality? A Note on the Effect of COVID-19 Lockdown on Air Pollution,"" Working Papers id:13061, eSocialSciences.",1
,On Issues With Covid19 Data And Why Kerala Stands Out In India,"Viraj Mahesh Vibhute, Aparajita Chattopadhyay","Quality of data released by Government having high COVID 19 numbers was analyzed. Parameters considered are timeliness of the publication of daily reports, accessibility of reports, sufficiency of the report in terms of all details and language(s) in which reports are released. With the exception of Kerala, all other states were found lacking in one or more parameters. The data from the Ministry also lacks in some parameters, perhaps due to lack of submission from the states. Further, an attempt was made to understand as to why Kerala tested more than other states even though testing criteria followed were the same across the country. It is found that a more rigorous implementation of screening process, going beyond guidelines issued by the Ministry could be the reason behind higher testing levels than other states, especially during initial phase of the pandemic. [IIPS COVID Research series].","COVID19, COVID-19, pandemic, Kerala, screening, data, India, testing levels, guidelines, Tamil Nadu, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13059.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020513115951_20.pdf&fcategory=Articles&AId=13059&fref=repec,RePEc:ess:wpaper:id:13059,"Viraj Mahesh Vibhute & Aparajita Chattopadhyay, 2020. ""On Issues With Covid19 Data And Why Kerala Stands Out In India,"" Working Papers id:13059, eSocialSciences.",1
,"Covid-19 Crisis, Pandemic Resilience and Linkages to Land: An Exposition","Pranab R Choudhury, Ranjan K Ghosh, Sumita Sindhi","For a COVID-19 like pandemic, the Achilles heel is an unsuspecting villain - rapid and global land use changes. The way governments, businesses and communities see, relate to and use land, not only influences the outbreak but also determines their impact on humanity and development. Drawing upon empirical evidences from epidemiology and land governance, this article argues why the current situation implores the need to focus on the interaction between land use and global diseases. Apart from dwelling on causal links, we discuss the externalities that industrial, urban and rural development in India are poised to face because of the pandemic's potential impact on land, biodiversity and wildlife habitat, property rights and housing. We also underline reform options for policy and practice, that must be discussed and acted upon.","COVID-19, land use, global diseases, biodiversity, wildlife habitat, property rights, housing, India, South Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13058.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020512172459_19.pdf&fcategory=Articles&AId=13058&fref=repec,RePEc:ess:wpaper:id:13058,"Pranab R Choudhury & Ranjan K Ghosh & Sumita Sindhi, 2020. ""Covid-19 Crisis, Pandemic Resilience and Linkages to Land: An Exposition,"" Working Papers id:13058, eSocialSciences.",1
,"Further Estimations of the Likely Total Infections and Deaths Due to COVID19 in Select Countries (Version 2 dt. April 10, 2020)1",Sebastian Morris,"We had earlier estimated the likely cases and deaths over the course of the pandemic for a number of countries. This was an early attempt and gave somewhat tentative results. With some 7 more days of data being now available, better estimates are possible which we bring out in this paper. As in the previous paper we use a logistic model of cumulative cases and deaths, to estimate the zero growth level of cases and deaths. We also provide an upper bound to these estimates. The earlier estimates are further reinforced, and new estimates are made for a select set of countries where the growth rates in the numbers of cases, and in deaths have begun to decline. We also give estimates of the current growth rates in cases and deaths that these countries are likely to witness.","COVID-19, infection, deaths, logistic model, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13057.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20205904054_19.pdf&fcategory=Articles&AId=13057&fref=repec,RePEc:ess:wpaper:id:13057,"Sebastian Morris, 2020. ""Further Estimations of the Likely Total Infections and Deaths Due to COVID19 in Select Countries (Version 2 dt. April 10, 2020)1,"" Working Papers id:13057, eSocialSciences.",1
,"A Quick Estimate the Likely Total Infections and Deaths Due to COVID19 in Select Countries (Version April 1, 2020)",Sebastian Morris,"The main objective of the working paper series of the IIMA is to help faculty members, research staff and doctoral students to speedily share their research findings with professional colleagues and test their research findings at the pre-publication stage. IIMA is committed to maintain academic freedom. The opinion(s), view(s) and conclusion(s) expressed in the working paper are those of the authors and not that of IIMA.","COVID19, infection, deaths, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13056.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20205903236_19.pdf&fcategory=Articles&AId=13056&fref=repec,RePEc:ess:wpaper:id:13056,"Sebastian Morris, 2020. ""A Quick Estimate the Likely Total Infections and Deaths Due to COVID19 in Select Countries (Version April 1, 2020),"" Working Papers id:13056, eSocialSciences.",1
,"The COVID-19, Migration and Livelihood in India","R. B. Bhagat, Reshmi R S",Sudden eruption of migration crisis resulting from the out-break of COVID-19 again reminds us the urgency of the matter. This policy paper presents how our understanding of migration and livelihood could be helpful in designing a mitigating strategy of economic and social impact of COVID-19. [IIPS Policy].,"COVID-19, migrants, migration, livelihood, India, political rights, urban developments, social security, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13054.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202058104549_20.pdf&fcategory=Articles&AId=13054&fref=repec,RePEc:ess:wpaper:id:13054,"R. B. Bhagat & Reshmi R S, 2020. ""The COVID-19, Migration and Livelihood in India,"" Working Papers id:13054, eSocialSciences.",1
,Assessing the Impact of Complete Lockdown on COVID-19 Infections in India and its Burden on Public Health Facilities,"Laxmi Kant Dwivedi, Balram Rai, Anandi Shukla",The COVID-19 has emerged as a global public health concern due to a large-scale community-based outbreak across countries. The number of confirmed cases has also increased in India in the past few weeks. The predictions for the COVID-19 can provide insights into the epidemiology of the disease that help the policymakers to assess the health system preparedness. [IIPS Situational Analysis].,"COVID-19, lockdown, India, infections, deaths, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13051.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202057122557_20.pdf&fcategory=Articles&AId=13051&fref=repec,RePEc:ess:wpaper:id:13051,"Laxmi Kant Dwivedi & Balram Rai & Anandi Shukla, 2020. ""Assessing the Impact of Complete Lockdown on COVID-19 Infections in India and its Burden on Public Health Facilities,"" Working Papers id:13051, eSocialSciences.",1
